,type,id,group_id,name,state,lat,lon,altitude,valid_from,valid_to,has_sunshine,has_global_radiation,is_active
482,INDIVIDUAL,18402,186.0,Flattnitz,Kärnten,46.94083,14.03611,1437.2,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
483,INDIVIDUAL,18502,103.0,Weitensfeld,Kärnten,46.84917,14.19083,704.0,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
484,INDIVIDUAL,18601,187.0,Friesach,Kärnten,46.95861,14.40583,640.0,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
485,INDIVIDUAL,18622,95.0,St. Veit an der Glan,Kärnten,46.73917,14.38556,462.6,2006-01-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
486,INDIVIDUAL,18705,90.0,St. Andrä im Lavanttal,Kärnten,46.76417,14.82806,403.0,1993-11-16T15:50:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
487,INDIVIDUAL,18805,71.0,Preitenegg,Kärnten,46.938333,14.920278,1059.0,1993-08-05T07:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
488,INDIVIDUAL,18905,116.0,Deutschlandsberg,Steiermark,46.82167,15.22889,354.0,1994-10-24T13:30:00+00:00,2001-04-30T23:50:00+00:00,True,False,False
489,INDIVIDUAL,18906,116.0,Deutschlandsberg,Steiermark,46.82167,15.22694,354.0,2001-05-01T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
490,INDIVIDUAL,19021,54.0,Leibnitz-Wagna,Steiermark,46.76739,15.55289,267.9,2003-11-03T12:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
491,INDIVIDUAL,19204,8.0,Bad Gleichenberg,Steiermark,46.87222,15.90361,269.0,2003-04-08T16:10:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
492,INDIVIDUAL,19205,,Feldbach,Steiermark,46.94889,15.87972,323.0,1999-08-16T09:30:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
493,INDIVIDUAL,19505,130.0,Sillian,Tirol,46.74644,12.42358,1081.4,1997-03-04T13:20:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
494,INDIVIDUAL,19700,19.0,Dellach,Kärnten,46.74189,13.08286,628.2,1995-11-15T12:20:00+00:00,2100-12-31T00:00:00+00:00,True,False,True
495,INDIVIDUAL,19711,,Kornat,Kärnten,46.685001,12.888889,990.0,2017-05-23T00:00:00+00:00,2100-12-31T00:00:00+00:00,True,True,True
